month,hour,year,location,operator,route,type,aboard,fatalities,summary
1,14,1951,"Philadelphia, Pennsylvania",National Airlines,Newark - Philadelphia,Douglas DC-4-1009,28,7,"The plane overshot the landing, ran into a ditch and caught fire. Pilot error in electing to land long, on a wet and snow covered runway instead of executing a missed approach."
1,12,1951,"Near Reardon, Washington",Northwest Orient Airlines,Minneapolis - Seattle,Martin 202,10,10,"While cruising at 6,000 ft.,  the aircraft when out of control and into a dive, hitting the ground at 340 mph.  Officially the cause was never determined.  Possible in-flight fire, explosion, structural failure or conrol system failure."
1,14,1951,"Near Civitavecchia, Italy",Alitalia,Paris - Rome,Savoia Marchetti SM-95,17,14,"The aircraft plunged to the ground from 6,500 feet after being struck by lightning. Lightning ignited a mixture of air and fuel fumes in the fuel tank."
1,8,1951,"Near An tung, Taiwan",Military -Royal Air Force,"Hong Kong - Iwakuni, Japan",Short Sunderland 9 (flying boat),16,16,Crashed into mountainous terrain while en route. Most likely weather related.
1,16,1951,"Off Hafnarfjorour, Iceland",Icelandair,Vestmannaeyar Island - Reykjavík,Douglas DC-3,20,20,Crashed into the sea 2.5 miles north of the airport after a second landing attempt in snow. The first attempt was aborted because the runway lights were not visible. The crew attempted a second landing but contact was lost with the aircraft. Wreckage was found in the ocean 10 miles from the airport.
3,9,1951,"Sioux City, Iowa",Mid Continent Airlines,"Kansas City, MO - Omaha, NB - Sioux City, Iowa",Douglas DC-3,25,16,"After a missed ILS approach , the pilot stalled the plane and crashed in poor weather conditions. A stall during a left turn too close to the ground to effect a recovery. Pilot error."
3,23,1951,Over the North Atlantic,Military - U.S. Air Force,Loring AFB - Lakeheath AFB,Douglas C-124A Globemaster,53,53,"The aircraft suffered an catastrophiexplosion and crashed into the sea approximately 750 miles west of Limerick, Ireland. Cause unknown"
4,20,1951,"Refugio Pass, near Santa Barbara, California",Southwest Airways,Santa Maria - Santa Barbara - Oxnard - Los Angeles,Douglas DC-3,22,22,"The plane crashed into the north slope of Santa Ynez peak, 23 miles northwest of Santa Barbara, in poor weather. Failure of the crew to maintain minimum altitude for the route being flown for reasons unknown."
4,11,1951,"Near Charleston, West Virginia",Military - U.S. Air Force,"Godman AFB - Charleston, WV",Douglas C-47B-DK,21,21,"The aircraft crashed into a wooded area, 8 miles NE of Charlston, after making a final turn to land at Kanawha County Airport. Both wings were sheared off and the aircraft burst into flames."
4,11,1951,"Key West, Florida",Cubana de Aviacion / Military -  US Navy,Miami - Havana,Douglas DC-4 /Beechcraft SMB-1,43,43,"The plane, on a flight from Miami to Cuba, collided with a US Navy Beechcraft at 4,000 feet. Thirty-nine killed on the DC-4, four killed on the Beechcraft.  Failure of both crews to maintain sufficient vigilance under VFR conditions to prevent a collision."
4,19,1951,"Fort Wayne, Indiana",United Air Lines,Cleveland - Fort Wayne - South Bend - Chicago,Douglas DC-3,11,11,The aircraft crashed after being caught in a squall line with 65-85 mph winds and heavy rain. Windshear. The severe downdraft encountered which caused the aircraft to strike the ground in a near level attitude.
5,12,1951,"Near Albuquerque, New Mexico",Military - U.S. Air Force,,Convair B-36D,25,23,"The aircraft crashed while attempting to land at Kirkland AFB in gusty winds. The pilot appeared to have difficulty keeping the wings level. The plane crossed the threshold left of the center line. When the pilot corrected, the right starboard jet pod and No. 6 propeller struck the runway. The pilot attempted a go-around with the No.6 engine afire but crashed to earth bursting into flames."
6,3,1951,"Near Sanoyea, Liberia",Pan American World Airways,Johannesburg - Accra - Monrovia - New York,Lockheed 049 Constellation,40,40,"The plane crashed into a hill at 1000 ft. in a level descending attitude, 54 miles from the airport. The pilot descended below en route minimum altitude without knowing the aircraft's position. The aircraft was named Clipper Great Republic."
6,2,1951,"Rocky Mountain Nat. Park, near Ft. Collins, Colorado",United Air Lines,Salt Lake City - Denver,Douglas DC-6B,50,50,"En route from San Francisco to Denver after passing the Cheyenne radio range the aircraft turned south in the wrong heading. Flying in darkness, the aircraft continued on this course until it hit Crystal Mountain. The captain may have depressed the wrong control switch or may have turned his ADF in such a way that it was affected by the radio range station at Fort Bridger, WY. Officially, the flight for reasons undetermined, failed to follow the prescribed route to Denver and continued beyond the boundary of the airway on a course which resulted in the aircraft striking mountainous terrain."
7,22,1951,"Lyneham AFB, England",Military - Royal Air Force,,Vickers Valetta C-1,10,10,One engine caught fire. The propellers of the working engine were feathered. The plane crashed.
7,0,1951,"Near Sitka, Alaska",Canadian PacifiAir Lines,Vancouver - Tokyo,Douglas C-54A,37,37,"Disappeared with no trace over the PacifiOcean while flying from Vancouver to Tokyo. The last message was received while the aircraft was near Yakutat, Alaska with no reports of probems. Cause undetermined."
8,9,1951,"Moisville, France",Air France,Training,Douglas DC-3D,5,5,"Abnormal flight maneuver made when the crew experienced difficulty in resuming normal flight on the two engines. Overspeed, reduction of pitch or difficulty in restarting the engine may have created a dangerous situation and caused the aircraft to stall in dissymmetrical flight, thus subjecting the airframe to stresses accompanied by buffeting which was either alternating or exceeded the design limits of the structure and caused the tail-plane to break off."
8,4,1951,"Decoto, California",United Air Lines,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas DC-6B,50,50,"Cleared for an approach to Oakland Municipal Airport, the aircraft crashed 15 miles SSE of the airport into Tolman peak. Patches of fog obscured the terrain. The aircraft struck a hill at an elevation of about 1,000 ft. at 225 to 240 mph. Neither of its 2 low-frequency receivers were tuned to the Oakland station and the captain may have attempted to fly by visual reference using the ADF.  As a result, the flight was 3 miles off course and well below the minimum prescribed altitude. The failure of the captain to adhere to instrument procedures in the Newark area during an approach to the Oakland Municipal  Airport."
9,10,1951,"Off Redwood City, California",United Air Lines,,Boeing 377 Stratocruiser 10-34,3,3,"The aircraft, with the No. 4 propeller feathered, stalled and dived into San Francisco Bay. An inadvertent stall at a low altitude from which recovery was not effected."
9,12,1951,"Off Ialas Baeares, Spain",Societe Alpes Provence,Perpignan - Oran,Douglas DC-3,39,39,Crashed into the Mediterranean due to structural failure following loss of control in severe weather.
10,18,1951,"Mt. Benson, BC, Canada",Queen Charlotte Airlines,Kildala - Vancouver,Consolidated PBY-5A Catalina,23,23,"While flying VFR in adverse weather conditions, the pilot mistook Nanaimo for Vancouver.  The plane crashed into Mt. Benson, 20 miles west of Vancouver."
10,19,1951,"Near Flores, Guatemala",Military - Guatemalan Air Force,,Douglas C-47,27,25,Crashed and burned in jungle 170 miles north northeast of Guatemala City.  It is theorized a passenger may have started a fire in the aircraft's cabin with a cigarette.
11,9,1951,"Near Tucumcari, Arazona",Transocean Air Lines,Oakland - Albuquerque,Martin 202,29,1,"Crashed while attempting to land at Albuquerque in marginal weather conditions. The captain's attempt to land during less than minimum visibility, rather than proceed to his alternate.  A military contract flight."
12,7,1951,"Denver, Colorado",United Air Lines,Training,Douglas DC-3A,3,3,"Stalled, entered a spin and crashed. An inadvertent spin at an altitude too low for recovery."
12,15,1951,"Elizabeth, New Jersey",Miami Airlines,Fort Smith - Newark,Curtiss Wright C-46F,56,56,"Shortly after taking off from Newark Airport the control tower noticed smoke emanating from the right engine.  Minutes later the aircraft gradually descended, its left wing dropped and the aircraft struck the roof of a vacant building. Hold-down studs in the number 10 cylinder of the right engine failed due to fatigue. Fire erupted at the base of the failed cylinder. Extension of the landing gear and loss of the right engine led to the aircraft stalling at the height of about 200 ft. The aircraft was also overloaded by 117 pounds. A stall with the landing gear extended following a serious loss of power from the right engine. This loss of power was caused by the failure of the hold-down studs of the No. 10 cylinder, precipitating a fire in flight which became uncontrollable."
12,22,1951,"Near Little Valley, New York",Continental Charters,Pittsburgh - Buffalo,Curtiss C-46A-50-CU,40,26,"Proceding at a low altitude to maintain reference with the ground, the plane drifted off course and crashed into a hill 15 miles east of the direct route. Flying VFR under IFR condtions. The captain's poor judgement in attempting a flight by visual reference during instrument weather conditions."
12,22,1951,"Near Fairbanks, Alaska",Transocean Air Lines,Umiat - Fairbanks,Curtiss C 46F-CU,4,4,"The flight made an authorized left turn while outbound on the east leg of the Fairbanks radio range and subsequently struck Chena Dome, northeast of the station while on a westerly heading. The failure of the pilot to follow procedures and utilize properly the radio facilities for approach and letdown at Fairbanks with the result that the flight became lost."
12,15,1951,"Near Phoenix, Arizona",Military - U.S. Air Force,New York - Williams AFB,Douglas C-47D,28,28,"Crashed into a mountainside at an altitude of 7,000 ft. while en route."
1,19,1952,"Com Edno, Wales",Aer Lingus,Northolt - Dublin,Douglas DC-3,23,23,The aircraft lost control in severe turbulence and downdrafts and crashed in a soft peat bog 1 mile east of Llyn Gwynant.  The encountering of strong down-currents of air on the lee side of Snowdon which forced the aircraft down into an area of strong turbulence where control was lost.
1,1,1952,"Off Sandspit, BC, Canada",Northwest Orient Airlines,Tokyo - Elmendorf AFB,Douglas DC-4,43,36,"The crew chose to divert to Sandpit after the No. 1 engine was shut down. The aircraft crashed into the PacifiOcean one mile offshore after overshooting the runway during the emergency landing. A nose gear retraction difficulty in connection with an icing condition or a power loss, which made the aircraft incapable of maintaining flight. Most of the fatalities were from exposure to the frigid water."
1,15,1952,"Elizabeth, New Jersey",American Airlines,Buffalo - Newark,Convair CV-240-0,23,23,"The aircraft crashed into an apartment house during its approach, 3 miles short and right of the runway.  The plane crashed while level laterally but in a steep descending attitude.  Most likely cause was carburetor icing. Official cause unknown."
2,0,1952,"Elizabeth, New Jersey",National Airlines,,Douglas DC-6,63,29,The aircraft crashed into an apartment complex shortly after taking off. The last message from the pilot was 'I've lost an engine and am returning to field.'   Reversal in flight of No. 3 propeller and subsequent feathering of No. 4 propeller at too low an altitude to effect a recovery.
2,17,1952,"Near Burgio, Italy",Hunting Air Travel,Nice - Malta,Vickers 614 Viking 1,31,31,Hit the north slope of La Cinta mountain range while en route.  Pilot did not maintain a safe altitude. The pilots ignorance of wind conditions which allowed the aircraft to drift 3 degrees off course.
2,2,1952,"Nagpur, India",Deccan Airways,,Douglas DC-3,16,3,"Banked left and struck trees 2,000 ft. short of the runway. Pilot error. The pilot misjudged the approach, undershot and hit the tops trees. A contributing factor was the setting of the pilot's altimeter to QNH, rather than the customary QFE during the final approach."
3,8,1952,"Nice, France",Air France,Nice - Paris,SNCASE Languedoc,38,38,"After taking off, the plane was observed turning to the left until it turned on its back and crashed. Malfunction of ailerons. The gear chain of the co-pilot's control column slipped off the sprocket and jammed the aileron controls."
3,10,1952,"Frankfurt, Germany",KLM Royal Dutch Airlines,Rome - Frankfort,Douglas DC-6,47,44,Crashed and burst into flames two miles short of the runway in rain and fog during the approach. Cause unknown. The aircraft was named 'Koningin Juliana.'
3,3,1952,"Gao, French West Africa",Société Aérienne de Tr. Tropicaux,,Lockheed 18 Lodestar,21,17,Crashed after taking off. Pilot failed to maintain altitude after taking off for reasons unknown. May have been pilot fatigue.
4,8,1952,"New York, New York",US Airlines,,Curtiss C-46F-1-CU,2,2,Violent engine surges and turbulence during a missed ILS approach caused the crew to loose control of the aircraft and crash at 171st St. and 89th Ave. in Queens. The no.1 engine fuel feed valve diaphragm  failed due to deterioration.
4,8,1952,"Mihara Volcano, Japan",Japan Air Lines,Tokyo - Osaka,Martin 202,37,37,"On an early morning flight, under instrument conditions, the crew flew the route segment from Tokyo to Oshima Island 1,000 ft. below the minimum instrument altitude.  At Oshima Island the aircraft crashed into the side of Mihara volcano."
4,12,1952,"North of San Juan, Puerto Rico",Pan American World Airways,San Juan - New York City,Douglas DC-4,69,52,"After taking off from Isle Grande Airport the crew had engine problems.The aircraft then crashed into the AtlantiOcean. The ditching took place in turbulent seas. The tail broke off on impact and the aircraft stayed afloat for only 3 minutes and sank.  The company's inadequate maintenance in not changing the No. 3 engine which resulted in its failure immediately subsequent to takeoff and the persistent action of the captain in attempting to re-establish a climb, without using all available power, following the critical loss of power to another engine. This resulted in a nose-high attitude, progressive loss of air speed and the settling of the aircraft at too low an altitude to effect recovery. The aircraft was named Clipper Endeavor."
4,3,1952,"Near Whittier, California",North Continental Airlines (Robin Airlines),"Kansas City, MO - Phoenix - Burbank",Curtiss C-46F-1CU,29,29,"The plane was on a flight from New York City to Burbank, California. Due to poor visibility and fog, the flight was diverted to Los Angeles Airport for an ILS approach. While on approach, the plane crashed into the Puente Hills and burned. The pilot voluntarily descended below the minimum altitude for which he was cleared and attempted an approach at too low an altitude to clear the terrain. The pilot in command was flying with a restricted medical certificate. An emergency suspension was placed on the airline and it was discovered the airline had allegations of more than 40 violations listed against it including charges of overweight planes, excessive flying time for crews and failure to use approved seats and safety belts."
4,4,1952,"Near Carolina, Brazil",Pan American World Airways,Rio de Janeiro - New York City,Boeing 377-10-26 Stratocruiser,50,50,"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named 'Clipper Good Hope.'"
5,8,1952,"Near Atar, Mauritania",British Overseas Airways,Tripoli - Kano,Handley Page HP-81 Hermes IV,18,1,"The crew became lost in the desert, ran out of fuel and made a forced landing.  Survivors had to be led by a rescue team 15 miles to an oasis before they could be evacuated.  The co-pilot died 5 days later from head injuries suffered in the accident. Navagational errors by the crew. Improper adjustment of the parameters of the  gyroscopicompass CL2 Gyrosyn by the navigator.  Absence of radio assistance and incorrect use of the compasses. Captain's decision  to use the gyroscopicompass in the place of the magneticompass which was inoperative. The aircraft was named 'Horus.'"
6,11,1952,BaltiSea,Swedish Air Force,Radio surveillance mission,Douglas DC-3,8,8,"Shot down by  a Mig-15 Russian Air Force fighter over the BaltiSea in international waters while on a radio surveillance mission. Wreckage found 06/17/2003, recovered 03/19/2004."
7,11,1952,"Off Rio de Janeiro, Brazil",Pan American World Airways,Rio de Janeiro - Buenos Aires,Boeing 377 Stratocruiser,27,1,A woman was suck out of the plane . The flight engineer's failure to recognize an unsafe condition of the cabin door despite three completely separate warnings of that condition and the captain's action in continuing flight while pressurized despite the several warnings that the main cabin door was not properly locked.
8,1,1952,"Off Trapani, Italy",Airwork,Blackbushe - Malta - Khartoum,Handley Page HP-81 Hermes 4A,57,7,After failure of all four engines the plane ditched into the Mediterranean Sea. The initial failure of the No. 1 and 2 engines for reasons unknown.
8,7,1952,"Near Khewra, West Pakistan",Military - Pakistan Air Force,Khewra - Peshawar,Bristol 170 Freighter,18,18,Crashed shortly after taking off from Khewra. Possible engine failure.
8,21,1952,"Kosti, Sudan",Phoenix Airlines,Juba - Wadi Halfa,Douglas DC-2-115B,4,2,Extremely bad weather forced the captain of the cargo plane to divert from his original destination. No proper preparation had been made for a possible landing at an alternate airfield prior to commencement of flight. The secondary cause was due to the Captain's attempt to execute a landing at Kosti aerodrome which was not equipped with night landing facilities. The Captain landed on the runway but was unable to align himself with the center line and in consequence ran off the runway and struck a steel windsock support and thereafter struck various obstructions such as trees which lay in the path.
9,15,1952,"Near Farnsborough, England",Private - de Havilland Aircraft,,de Havilland 110,1,1,"One of two engines of the aircraft fell into a crowd at a performance at the Farnborough air show. The aircraft crashed to the ground 1.5 miles from the grandstands killing the Chief test pilot of de Havilland Aircraft Corporation, John Derry and an observer, Tony Richards. In addition, fifty two people on the ground were killed and over 60 injured. The cause was a structural design fault in the D shaped leading edge section of the wing. When Derry pulled a high G turn, the wing buckled."
10,8,1952,"Near Flagstaff, Arizona",Military - U.S. Air Force,,Boeing KC-97G Stratofreighter,16,16,Struck Gray Mountain in poor visibility while en route.
11,3,1952,"Near Summit, Alaska",Military - U.S. Air Force,Elmendorf AFB - Big Delta,Fairchild C-119C,19,19,"A course deviation led to the aircraft crashing into Mt. McKinley at an elevation of 12,000 ft."
11,14,1952,"Near Seoul, South Korea",Military - U.S. Air Force,,Fairchild C-119C,44,44,"Struck a mountain at an elevation of 2,000 ft. as it prepared to land at U.S. military base K-16. The mountains were obscured by low clouds."
11,20,1952,"Mount Gannett, Alaska",Military - U.S. Air Force,,Douglas C-124A Globemaster,52,52,"Bound for Elmendorf Air Force Base, the aircraft struck the south slope of Mount Gannett. The plane drifted off course due to high winds."
11,0,1952,"Near Tacoma, Washington",Military - U.S. Air Force,,Douglas C-54G (DC-4),38,37,Crashed in poor visibility and fog after diverting to Great Falls. The No. 3 engine failed and the plane crashed into trees approximately 1 mile southwest of the airport. An 8-year old boy was the only survivor.
12,4,1952,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,Madrid - Azores - Bermuda - Havana,Douglas DC-4,41,37,Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called 'The Star of the East.'
12,6,1952,"Moses Lake, Washington",Military - U.S. Air Force,,Douglas C-124A Globemaster,115,87,Within two minutes after takeoff the aircraft began to lose altitude. It crashed and burned into a snow laden field at the end of the airstrip. Failure of the pilot to remove the rudder and elevator locking pin prior to taking off.
1,20,1953,"Belfast, Northern Ireland",British European Airways,Northolt - Belfast,Vickers Viking 610-1B,35,27,Crashed into approach lights while attempting to land.  Error of judgement on the part of the pilot.
1,20,1953,"Issaquah, Washington",Flying Tiger Line,San Francisco - Seattle,Douglas C-54B-10-DO,7,7,The plane trees and high ground while on approach. The flight's deviation from the established approach procedure.
1,4,1953,"Fish Haven, Idaho",Associated Air Transport,Boeing Field - Cheyenne,Curtiss C-46,40,40,"The plane crashed into mountains while en route. Upon entering an area of turbulence, the plane was unable to climb and crashed into trees. Found 5 months later. The inadvertent descent into an area of turbulence and icing which resulted in the pilot's inability to regain a safe altitude."
1,4,1953,"25 nm off Agrigento, Italy",Military -Royal Air Force,,Vickers Valetta Mk1 / Avero Lancaster,26,26,
2,5,1953,"Off Newfoundland, Canada",Lancashire Aircraft Corporation (Skyways),"Lajes, Azores - Gander",Avro 685 York 1,39,39,"Last know coordinates 46' 15' N, 46'31'W, over the North Atlantic. A distress message was received. No trace of the aircraft or its occupants were ever found."
2,19,1953,"Cairo, Egypt",Military - Egyptian Air Force,,Curtiss-Wright C-46,35,30,Crashed into a hill during a sandstorm.
2,17,1953,"Off Mobile, Alabama",National Airlines,Miami - Orlando - New Orleans,Douglas DC-6,46,46,"The aircraft crashed into the Gulf of Mexico off Mobile, Alabama. The aircraft broke up in the turbulence of a 'frontal wave' storm after failure of  the left wing. The loss of control followed by the in-flight failure and separation of portions of the airframe structure while the aircraft was traversing an intense frontal-wave type storm of extremely severe turbulence, the severity and location of which the pilot had not been fully informed."
3,3,1953,"Karachi, Pakistan",Canadian PacifiAir Lines,Karachi - Rangoon,de Havilland DH106 Comet 1A,11,11,"The aircraft overran the runway during takeoff. Excessive nose-up attitude of the aircraft during the takeoff run producing a partly stalled condition and excessive drag. The pilot who had only limited experience in the Comet aircraft, elected to takeoff at night at the maximum permissable takeoff for the prevailing conditions. The circumstances required strict adherence to the prescribed takeoff technique, which was not complied with.  First fatal crash of a commercial jet aircraft. The aircraft was named Empress of Hawaii."
3,4,1953,"Random Island, Newfoundland",Military - U.S. Air Force,Azores - Rapid City AFB,Convair RB-36H,23,23,"The aircraft, flying low over the AtlantiOcean, was to have flown higher when it reached the coast. Tail-winds caused the aircraft to arrive earlier and the plane hit a hill in low cloud cover."
3,18,1953,"Alvarado, California",Transocean Air Lines,Roswell - Oakland - Guam,Douglas DC-4  (C-54-10-DO),35,35,"The aircraft crashed into a flat barley field and burned. The aircraft first struck the ground with its right wing tip in a near vertical position, cartwheeled and disintegrated. All 30 passengers were maintenance personnel from the 509th Bomb Wing, noted for dropping the atomibombs on Japan. Accumulation of ice on the surfaces of the aircraft in sufficient magnitude to have caused loss of control. Official cause of loss of control unknown."
4,2,1953,"Selleck, Washington",Miami Airlines,Spokane - Ellenburgh,Douglas DC-3 (C-47-DL),25,7,"The aircraft crashed into Cedar Mountain following double engine failure. The progressive failure of both engines, due to the lack of compliance with proper maintenance standards. Spark plugs in both engines had been operated beyond their normal maintenance inspection period and exhibited evidence of a condition conducive to detonation and preignition. There was evidence that detonation and preignition took place in both engines and that  they ultimately failed as a result of master rod bearing failures."
